bol_window,bol_std,long_ma,short_ma,sharpe_ratio,win_rate
40,2.0,50,80,1.6969465454970905,33.15926892950392
120,3.0,650,100,1.69625895648565,58.108108108108105
60,1.0,450,100,1.6961463944871022,27.652733118971064
140,2.0,650,100,1.6959014903991383,44.696969696969695
120,1.0,750,80,1.6958093871772297,34.274193548387096
20,3.0,550,60,1.6956523883023868,43.63636363636363
20,2.0,850,120,1.6956102835305387,31.804281345565748
120,3.0,350,80,1.69544011321048,52.32558139534884
20,1.0,550,60,1.6945716594241875,25.87904360056259
20,2.0,650,60,1.6934596382333011,30.917874396135264
120,3.0,650,80,1.693293851212695,55.4054054054054
20,3.0,150,20,1.6930537456071497,44.40298507462687
20,2.0,450,80,1.6926911149174513,32.62032085561498
100,3.0,750,120,1.6926779213049674,44.73684210526316
20,3.0,550,80,1.6902619257358291,44.44444444444444
100,2.0,550,80,1.6897784605785697,42.30769230769231
60,1.0,550,120,1.689371584729059,26.96245733788396
20,1.0,450,100,1.6878178577140395,30.069930069930066
40,3.0,50,120,1.6864462430624527,37.35632183908046
60,3.0,750,60,1.685176131502845,47.107438016528924
80,1.0,950,80,1.6845207942034015,34.831460674157306
160,1.0,450,60,1.683789220033975,29.205607476635514
120,2.0,450,100,1.6826916994860468,44.936708860759495
160,3.0,50,120,1.6819370469629238,50.649350649350644
160,3.0,150,120,1.6819370469629238,50.649350649350644
160,3.0,250,120,1.6819370469629238,50.649350649350644
180,3.0,350,100,1.6807049969674577,58.2089552238806
80,1.0,250,100,1.6781652991742413,31.41891891891892
100,2.0,350,100,1.6778221724678826,39.010989010989015
80,2.0,950,100,1.6759631521748009,42.331288343558285
180,1.0,450,120,1.675689048042458,35.32338308457712
40,3.0,150,120,1.674633160892819,37.05882352941177
60,2.0,250,120,1.6745412819641028,33.47826086956522
60,1.0,950,80,1.674317155494085,31.629392971246006
120,2.0,650,100,1.67312154599896,47.14285714285714
160,2.0,450,100,1.6725106519078883,46.15384615384615
120,3.0,850,80,1.672372313685655,56.94444444444444
80,4.0,950,120,1.6700125523325968,59.25925925925925
20,3.0,550,120,1.6689130604459586,39.436619718309856
20,3.0,250,60,1.6677969888877668,41.711229946524064
60,3.0,650,60,1.6668609627412558,46.45669291338583
140,1.0,250,100,1.6658802184956798,33.33333333333333
40,1.0,950,80,1.6655866720747998,27.163461538461537
20,1.0,750,120,1.6655510150785906,29.054054054054053
120,3.0,750,80,1.6649772514927634,56.16438356164384
160,3.0,50,80,1.6631512112317324,58.75
160,3.0,150,80,1.6631512112317324,58.75
160,3.0,250,80,1.6631512112317324,58.75
140,2.0,650,120,1.6622468143104245,41.12903225806452
60,3.0,650,20,1.6619116505762366,46.76258992805755
80,1.0,350,100,1.6618454385373094,32.342007434944236
120,2.0,550,80,1.6618077434207137,44.44444444444444
160,4.0,750,120,1.6612607378402562,61.111111111111114
160,4.0,850,120,1.6612607378402562,61.111111111111114
120,2.0,650,120,1.6608409410408502,42.74809160305343
40,1.0,50,100,1.6599324031228284,25.591397849462368
40,1.0,650,60,1.659720999562772,29.30232558139535
140,1.0,250,120,1.6595205500343535,33.59073359073359
180,1.0,750,60,1.6575309880108122,29.048843187660665
80,1.0,550,80,1.655135663911592,32.51748251748251
140,2.0,550,80,1.6547395235126878,43.42105263157895
100,3.0,50,100,1.6537968944233703,46.49122807017544
100,3.0,150,100,1.6537968944233703,46.49122807017544
20,3.0,550,20,1.6522434173842597,46.411483253588514
80,2.0,550,20,1.6513994783963115,43.003412969283275
80,1.0,650,80,1.6509362398405476,31.751824817518248
80,4.0,850,120,1.6506122102904448,57.14285714285714
20,2.0,550,20,1.6495996626444271,40.213523131672595
80,1.0,150,100,1.6491256000354755,31.57894736842105
140,1.0,350,80,1.6491024412527449,33.666666666666664
40,1.0,250,100,1.6487761273475194,27.56756756756757
80,4.0,450,120,1.648636236648894,55.55555555555556
80,3.0,750,120,1.648576086957992,42.5287356321839
40,1.0,350,60,1.6482080860789197,31.363636363636367
80,3.0,50,100,1.6480014435068902,44.44444444444444
180,1.0,950,120,1.6476941935013971,35.26011560693642
80,4.0,550,120,1.6448176089272133,57.14285714285714
180,3.0,50,100,1.644502376969182,57.971014492753625
180,3.0,150,100,1.644502376969182,57.971014492753625
180,3.0,250,100,1.644502376969182,57.971014492753625
60,2.0,550,60,1.6442552868230729,40.725806451612904
60,3.0,850,60,1.6439630988342164,47.5
